Dirección   Valor
0x00000000  0x00000000
0x00000004  0x00000000
0x00000008  0x00000000
0x0000000c  0x00000000
0x00000010  0x00000000
0x00000014  0x00000000
0x00000018  0x00000000
0x0000001c  0x00000000
0x00000020  0x00000000
0x00000024  0x00000000
0x00000028  0x00000000
0x0000002c  0x00000000
0x00000030  0x00000000
0x00000034  0x00000000
0x00000038  0x00000000
0x0000003c  0x00000000
0x00000040  0x00000000
0x00000044  0x00000000
0x00000048  0x00000000
0x0000004c  0x00000000
0x00000050  0x00000000
0x00000054  0x00000000
0x00000058  0x00000000
0x0000005c  0x00000000
0x00000060  0x00000000
0x00000064  0x00000000
0x00000068  0x00000000
0x0000006c  0x00000000
0x00000070  0x00000000
0x00000074  0x00000000
0x00000078  0x00000000
0x0000007c  0x00000000
0x00000080  0x00000000
0x00000084  0x00000000
0x00000088  0x00000000
0x0000008c  0x00000000
0x00000090  0x00000000
0x00000094  0x00000000
0x00000098  0x00000000
0x0000009c  0x00000000
0x000000a0  0x00000000
0x000000a4  0x00000000
0x000000a8  0x00000000
0x000000ac  0x00000000
0x000000b0  0x00000000
0x000000b4  0x00000000
0x000000b8  0x00000000
0x000000bc  0x00000000
0x000000c0  0x00000000
0x000000c4  0x00000000
0x000000c8  0x00000000
0x000000cc  0x00000000
0x000000d0  0x00000015
0x000000d4  0x00000700
0x000000d8  0xfffff90e
0x000000dc  0x0000000e
0x000000e0  0x00000009
0x000000e4  0x00000007
0x000000e8  0x0000000e
0x000000ec  0x0000abcd
0x000000f0  0x00000000
0x000000f4  0x00000000
0x000000f8  0x00000000
0x000000fc  0x00000000
